category,technique_name,description
creative,Sensory Exploration,"Engager les cinq sens pour decouvrir des espaces de solution multi-dimensionnels au-dela de la pensee purement analytique. A quoi ressemble l'idee visuellement, tactilement, auditivement ?"
deep,Five Whys,"Creuser a travers les couches de causalite pour decouvrir les causes racines — essentiel pour resoudre les problemes a la source plutot que les symptomes. Demander 'Pourquoi ?' de facon repetee."
deep,Morphological Analysis,"Explorer systematiquement toutes les combinaisons de parametres possibles pour les systemes complexes. Identifier les parametres cles, lister les options, essayer les combinaisons."
deep,Provocation Technique,"Utiliser des declarations deliberement provocatrices pour extraire des idees utiles de points de depart apparemment absurdes. 'Et si [provocation] ?' 'Comment ca pourrait etre utile ?'"
deep,Assumption Reversal,"Questionner et inverser les hypotheses fondamentales pour reconstruire sur de nouvelles bases. 'Quelles hypotheses faisons-nous ?' 'Et si l'oppose etait vrai ?' 'Reconstruire a partir de nouvelles hypotheses.'"
deep,Question Storming,"Generer des questions avant de chercher des reponses pour definir correctement l'espace du probleme. Uniquement des questions, pas de reponses. Se concentrer sur ce qu'on ne sait pas."
deep,Constraint Mapping,"Identifier et visualiser toutes les contraintes pour trouver des voies prometteuses autour ou a travers les limitations. Quelles contraintes existent ? Lesquelles sont reelles vs imaginaires ?"
deep,Failure Analysis,"Etudier les echecs reussis pour en extraire des insights precieux et eviter les pieges courants. Qu'est-ce qui a mal tourne ? Pourquoi ca a echoue ? Quelles lecons en tirer ?"
deep,Emergent Thinking,"Laisser les solutions emerger organiquement sans forcer une progression lineaire — embrasser la complexite et le developpement naturel. Quels patterns emergent ? Que veut-il se passer naturellement ?"
introspective,Inner Child Conference,"Canaliser la curiosite et l'emerveillement purs de l'enfance pour raviver l'exploration ludique. Qu'est-ce que ton toi de 7 ans demanderait ? Utiliser le questionnement 'pourquoi pourquoi pourquoi'. Interdire la pensee ennuyeuse."
introspective,Shadow Work Mining,"Explorer ce qu'on evite activement ou ce a quoi on resiste pour decouvrir des insights caches. Examiner les blocages inconscients et les patterns de resistance. Qu'est-ce qu'on evite ? Ou est la resistance ?"
introspective,Values Archaeology,"Excaver les valeurs personnelles profondes qui guident les decisions pour clarifier les priorites authentiques. Qu'est-ce qui compte vraiment ? Pourquoi ca t'importe ? Qu'est-ce qui est non-negociable ?"
introspective,Future Self Interview,"Chercher la sagesse de ton futur toi plus sage pour une perspective a long terme. Que dirait ton toi de 80 ans ? Quelle sagesse a long terme emerge ?"
introspective,Body Wisdom Dialogue,"Laisser les sensations physiques et l'instinct guider l'ideation — exploiter l'intelligence somatique souvent ignoree par les approches mentales. Que dit ton corps ? Ou le sens-tu ?"
introspective,Permission Giving,"Accorder la permission explicite de penser l'impossible et briser les barrieres creatives auto-imposees. Se donner la permission d'explorer, d'essayer, d'experimenter sans limites."
structured,SCAMPER Method,"Creativite systematique a travers sept lentilles : Substituer, Combiner, Adapter, Modifier, Proposer d'autres usages, Eliminer, Reorganiser/Renverser."
structured,Six Thinking Hats,"Explorer les problemes a travers six perspectives distinctes : Blanc (faits), Rouge (emotions), Jaune (benefices), Noir (risques), Vert (creativite), Bleu (processus)."
structured,Mind Mapping,"Ramifier visuellement les idees depuis un concept central pour decouvrir les connexions et etendre la reflexion. Mettre l'idee principale au centre, ramifier les concepts, identifier les sous-branches."
structured,Resource Constraints,"Generer des solutions innovantes en imposant des limitations extremes. 'Et si on avait seulement 1€ ?' 'Pas de technologie ?' 'Une heure pour resoudre ?' Force les priorites essentielles."
structured,Decision Tree Mapping,"Cartographier tous les chemins de decision possibles et leurs resultats pour reveler opportunites et risques caches. Identifier les chemins, points de decision, et ou menent les differents choix."
structured,Solution Matrix,"Creer une grille systematique des variables du probleme et des approches de solution pour trouver les combinaisons optimales et decouvrir les lacunes."
structured,Trait Transfer,"Emprunter des attributs de solutions reussies dans des domaines sans rapport pour enrichir l'approche — adapter systematiquement les caracteristiques gagnantes."
theatrical,Time Travel Talk Show,"Interviewer les versions passee/presente/future de soi-meme pour une sagesse temporelle — methode ludique pour gagner en perspective a travers differentes etapes de vie."
theatrical,Alien Anthropologist,"Examiner les problemes familiers a travers des yeux completement etrangers — revele les hypotheses cachees en adoptant la perspective perplexe d'un outsider. Devenir un observateur alien."
theatrical,Dream Fusion Laboratory,"Commencer par des solutions fantaisistes impossibles puis retro-ingenierer des etapes pratiques. Rever des solutions impossibles, travailler a rebours vers la realite."
theatrical,Emotion Orchestra,"Laisser differentes emotions diriger des sessions de brainstorming separees puis harmoniser. Explorer les perspectives en colere, joyeuses, craintives, pleines d'espoir, puis harmoniser toutes les voix."
theatrical,Parallel Universe Cafe,"Explorer des solutions sous des regles de realite alternatives — brise la pensee conventionnelle en changeant les hypotheses fondamentales sur le fonctionnement des choses."
theatrical,Persona Journey,"Incarner differents archetypes ou personas pour acceder a une sagesse diverse. Devenir l'archetype, demander comment le persona resoudrait ca, explorer ce que le personnage voit."
wild,Chaos Engineering,"Casser deliberement les choses pour decouvrir des solutions robustes — construire l'anti-fragilite en stress-testant les idees contre les pires scenarios."
wild,Guerrilla Gardening Ideas,"Planter des solutions inattendues dans des endroits improbables — utiliser la surprise et le placement non conventionnel pour l'innovation furtive."
wild,Pirate Code Brainstorm,"Prendre ce qui marche de partout et remixer sans permission — encourager le prototypage rapide et la pensee de franc-tireur. Aucune permission necessaire."
wild,Zombie Apocalypse Planning,"Concevoir des solutions pour des scenarios de survie extreme — eliminer tout sauf les fonctions essentielles pour trouver la valeur fondamentale."
wild,Drunk History Retelling,"Expliquer des idees complexes avec une simplicite desinhibee — supprimer les barrieres de sur-reflexion pour trouver la verite brute. Expliquer comme si t'etais emeche, sans filtre."
wild,Anti-Solution,"Generer des moyens d'empirer le probleme ou de le rendre plus interessant — revele les hypotheses cachees par la creativite destructrice."
wild,Quantum Superposition,"Maintenir plusieurs solutions contradictoires simultanement jusqu'a ce que la meilleure emerge par observation et test. Explorer comment toutes les solutions pourraient etre vraies en meme temps."
wild,Elemental Forces,"Imaginer les solutions sculptees par les elements naturels pour puiser dans les energies creatives primales. Comment la terre sculpterait ca ? Que forgerait le feu ? Comment l'eau coule a travers ?"
biomimetic,Nature Solutions,"Etudier comment la nature resout des problemes similaires et adapter les strategies biologiques. 3.8 milliards d'annees de sagesse evolutive. Quels ecosystemes offrent des paralleles ?"
biomimetic,Ecosystem Thinking,"Analyser le probleme comme un ecosysteme pour identifier les relations symbiotiques, la succession naturelle et les principes ecologiques."
biomimetic,Evolutionary Pressure,"Appliquer les principes evolutifs pour ameliorer graduellement les solutions par pression selective et adaptation. Comment l'evolution optimiserait ca ?"
quantum,Observer Effect,"Reconnaitre comment observer et mesurer les solutions change leur comportement — utiliser les principes quantiques pour l'innovation."
quantum,Entanglement Thinking,"Explorer comment differents elements de solution pourraient etre connectes independamment de la distance — reveler les relations cachees entre composants."
quantum,Superposition Collapse,"Maintenir plusieurs solutions potentielles simultanement jusqu'a ce que les contraintes forcent un resultat optimal unique."
cultural,Indigenous Wisdom,"Puiser dans les systemes de connaissances traditionnels et les approches autochtones negligees par la pensee moderne. Comment des cultures specifiques aborderaient ce probleme ?"
cultural,Fusion Cuisine,"Melanger les approches et perspectives culturelles comme la cuisine fusion — creer l'innovation par la pollinisation croisee culturelle."
cultural,Ritual Innovation,"Appliquer les principes de conception de rituels pour creer des experiences et solutions transformatrices. Quel rituel transformerait ceci ?"
cultural,Mythic Frameworks,"Utiliser les mythes et histoires archetypales comme cadres pour comprendre et resoudre les problemes. Quel mythe est parallele a ceci ? Quels archetypes sont impliques ?"
